date,GDPC1,quarter_yr,quarter_cycle,year,year_qt,GDP_growth_qt,GDP_growth_pct
1/1/1993,9850.973,1,1,1993,1993_1,16.463,0.167400308
4/1/1993,9908.347,2,2,1993,1993_2,57.374,0.582419625
7/1/1993,9955.641,3,3,1993,1993_3,47.294,0.477314733
10/1/1993,10091.049,4,4,1993,1993_4,135.408,1.360113327
1/1/1994,10188.954,1,5,1994,1994_5,97.905,0.970216278
4/1/1994,10327.019,2,6,1994,1994_6,138.065,1.355045866
7/1/1994,10387.382,3,7,1994,1994_7,60.363,0.584515241
10/1/1994,10506.372,4,8,1994,1994_8,118.99,1.145524445
1/1/1995,10543.644,1,1,1995,1995_1,37.272,0.354756142
4/1/1995,10575.1,2,2,1995,1995_2,31.456,0.298340877
7/1/1995,10665.06,3,3,1995,1995_3,89.96,0.850677535
10/1/1995,10737.478,4,4,1995,1995_4,72.418,0.679021028
1/1/1996,10817.896,1,5,1996,1996_5,80.418,0.74894682
4/1/1996,10998.322,2,6,1996,1996_6,180.426,1.667847426
7/1/1996,11096.976,3,7,1996,1996_7,98.654,0.896991377
10/1/1996,11212.205,4,8,1996,1996_8,115.229,1.038381988
1/1/1997,11284.587,1,1,1997,1997_1,72.382,0.645564365
4/1/1997,11472.137,2,2,1997,1997_2,187.55,1.662001454
7/1/1997,11615.636,3,3,1997,1997_3,143.499,1.250848033
10/1/1997,11715.393,4,4,1997,1997_4,99.757,0.858816513
1/1/1998,11832.486,1,5,1998,1998_5,117.093,0.999479915
4/1/1998,11942.032,2,6,1998,1998_6,109.546,0.925807138
7/1/1998,12091.614,3,7,1998,1998_7,149.582,1.252567402
10/1/1998,12287,4,8,1998,1998_8,195.386,1.615880229
1/1/1999,12403.293,1,1,1999,1999_1,116.293,0.946471881
4/1/1999,12498.694,2,2,1999,1999_2,95.401,0.769158642
7/1/1999,12662.385,3,3,1999,1999_3,163.691,1.309664834
10/1/1999,12877.593,4,4,1999,1999_4,215.208,1.699585031
1/1/2000,12924.179,1,5,2000,2000_5,46.586,0.361760152
4/1/2000,13160.842,2,6,2000,2000_6,236.663,1.831164672
7/1/2000,13178.419,3,7,2000,2000_7,17.577,0.133555285
10/1/2000,13260.506,4,8,2000,2000_8,82.087,0.622889589
1/1/2001,13222.69,1,1,2001,2001_1,-37.816,-0.285177655
4/1/2001,13299.984,2,2,2001,2001_2,77.294,0.58455579
7/1/2001,13244.784,3,3,2001,2001_3,-55.2,-0.415038093
10/1/2001,13280.859,4,4,2001,2001_4,36.075,0.272371373
1/1/2002,13397.002,1,5,2002,2002_5,116.143,0.874514216
4/1/2002,13478.152,2,6,2002,2002_6,81.15,0.605732536
7/1/2002,13538.072,3,7,2002,2002_7,59.92,0.444571333
10/1/2002,13559.032,4,8,2002,2002_8,20.96,0.154822636
1/1/2003,13634.253,1,1,2003,2003_1,75.221,0.554766741
4/1/2003,13751.543,2,2,2003,2003_2,117.29,0.860259818
7/1/2003,13985.073,3,3,2003,2003_3,233.53,1.69820943
10/1/2003,14145.645,4,4,2003,2003_4,160.572,1.148167049
1/1/2004,14221.147,1,5,2004,2004_5,75.502,0.533747312
4/1/2004,14329.523,2,6,2004,2004_6,108.376,0.762076364
7/1/2004,14464.984,3,7,2004,2004_7,135.461,0.945328048
10/1/2004,14609.876,4,8,2004,2004_8,144.892,1.001674112
1/1/2005,14771.602,1,1,2005,2005_1,161.726,1.106963536
4/1/2005,14839.782,2,2,2005,2005_2,68.18,0.461561312
7/1/2005,14972.054,3,3,2005,2005_3,132.272,0.891333848
10/1/2005,15066.597,4,4,2005,2005_4,94.543,0.631463125
1/1/2006,15267.026,1,5,2006,2006_5,200.429,1.330287125
4/1/2006,15302.705,2,6,2006,2006_6,35.679,0.23369974
7/1/2006,15326.368,3,7,2006,2006_7,23.663,0.154632792
10/1/2006,15456.928,4,8,2006,2006_8,130.56,0.85186523
1/1/2007,15493.328,1,1,2007,2007_1,36.4,0.235493107
4/1/2007,15582.085,2,2,2007,2007_2,88.757,0.5728724
7/1/2007,15666.738,3,3,2007,2007_3,84.653,0.543271327
10/1/2007,15761.967,4,4,2007,2007_4,95.229,0.607841913
1/1/2008,15671.383,1,5,2008,2008_5,-90.584,-0.574699846
4/1/2008,15752.308,2,6,2008,2008_6,80.925,0.516387099
7/1/2008,15667.032,3,7,2008,2008_7,-85.276,-0.541355591
10/1/2008,15328.027,4,8,2008,2008_8,-339.005,-2.163811244
1/1/2009,15155.94,1,1,2009,2009_1,-172.087,-1.122695047
4/1/2009,15134.117,2,2,2009,2009_2,-21.823,-0.143989749
7/1/2009,15189.222,3,3,2009,2009_3,55.105,0.364111101
10/1/2009,15356.058,4,4,2009,2009_4,166.836,1.098384104
1/1/2010,15415.145,1,5,2010,2010_5,59.087,0.38477974
4/1/2010,15557.277,2,6,2010,2010_6,142.132,0.922028304
7/1/2010,15671.967,3,7,2010,2010_7,114.69,0.737211274
10/1/2010,15750.625,4,8,2010,2010_8,78.658,0.501902537
1/1/2011,15712.754,1,1,2011,2011_1,-37.871,-0.240441252
4/1/2011,15825.096,2,2,2011,2011_2,112.342,0.714973327
7/1/2011,15820.7,3,3,2011,2011_3,-4.396,-0.027778662
10/1/2011,16004.107,4,4,2011,2011_4,183.407,1.159284987
1/1/2012,16129.418,1,5,2012,2012_5,125.311,0.782992766
4/1/2012,16198.807,2,6,2012,2012_6,69.389,0.430201511
7/1/2012,16220.667,3,7,2012,2012_7,21.86,0.134948209
10/1/2012,16239.138,4,8,2012,2012_8,18.471,0.113873246
1/1/2013,16382.964,1,1,2013,2013_1,143.826,0.885675089
4/1/2013,16403.18,2,2,2013,2013_2,20.216,0.123396475
7/1/2013,16531.685,3,3,2013,2013_3,128.505,0.783415167
10/1/2013,16663.649,4,4,2013,2013_4,131.964,0.798248938
1/1/2014,16616.54,1,5,2014,2014_5,-47.109,-0.282705187
4/1/2014,16841.475,2,6,2014,2014_6,224.935,1.353681332
7/1/2014,17047.098,3,7,2014,2014_7,205.623,1.220932252
10/1/2014,17143.038,4,8,2014,2014_8,95.94,0.562793738
1/1/2015,17305.752,1,1,2015,2015_1,162.714,0.949154986
4/1/2015,17422.845,2,2,2015,2015_2,117.093,0.676613186
7/1/2015,17486.021,3,3,2015,2015_3,63.176,0.362604385
10/1/2015,17514.062,4,4,2015,2015_4,28.041,0.160362383
1/1/2016,17613.264,1,5,2016,2016_5,99.202,0.566413434
4/1/2016,17668.203,2,6,2016,2016_6,54.939,0.311918336
7/1/2016,17764.388,3,7,2016,2016_7,96.185,0.544396054
10/1/2016,17876.179,4,8,2016,2016_8,111.791,0.629298347
1/1/2017,17977.299,1,1,2017,2017_1,101.12,0.565668983
4/1/2017,18054.052,2,2,2017,2017_2,76.753,0.426944003
7/1/2017,18185.636,3,3,2017,2017_3,131.584,0.728833616
10/1/2017,18359.432,4,4,2017,2017_4,173.796,0.955677327
1/1/2018,18530.483,1,5,2018,2018_5,171.051,0.93167915
4/1/2018,18654.383,2,6,2018,2018_6,123.9,0.668628011
7/1/2018,18752.355,3,7,2018,2018_7,97.972,0.525195607
10/1/2018,18813.923,4,8,2018,2018_8,61.568,0.328321429
1/1/2019,18950.347,1,1,2019,2019_1,136.424,0.72512256
4/1/2019,19020.599,2,2,2019,2019_2,70.252,0.370716167
7/1/2019,19141.744,3,3,2019,2019_3,121.145,0.636914747
10/1/2019,19253.959,4,4,2019,2019_4,112.215,0.58623185
1/1/2020,19010.848,1,5,2020,2020_5,-243.111,-1.262654605
4/1/2020,17205.822,2,6,2020,2020_6,-1805.026,-9.494715859
7/1/2020,21170.3,3,7,2020,2020_7,3964.478,23.04149142
10/1/2020,21479.5,4,8,2020,2020_8,309.2,1.460536695
1/1/2021,22038.2,1,1,2021,2021_1,558.7,2.601084755
4/1/2021,22741,2,2,2021,2021_2,702.8,3.189008177
7/1/2021,23202.3,3,3,2021,2021_3,461.3,2.028494789
10/1/2021,24002.8,4,4,2021,2021_4,800.5,3.450089
1/1/2022,24386.7,1,5,2022,2022_5,383.9,1.599396737
4/1/2022,24882.9,2,6,2022,2022_6,496.2,2.034715644
